year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2020,3EV INDUSTRIES PVT LTD,0,0,0,0,112,0,0,0,0,0,30,0,0,1,0,0,143
2020,3S INDUSTRIES,0,0,0,0,66,0,0,0,0,74,0,0,0,0,0,2,142
2020,A1 HEAVY EQUIPMENTS DEVELOPER,0,0,0,0,0,0,0,5,0,1,3,0,0,3,0,10,22
2020,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020,AADHYA ENTERPRISES,0,0,0,0,4,0,0,0,0,62,3,0,0,0,0,0,69
2020,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2020,AAHANA COMMERCE PVT LTD,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61
2020,AAKK AUTO PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2020,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,41
2020,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020,ABZO MOTORS PVT LTD,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15
2020,ACCRETION POWER AUTOS,0,0,0,0,111,0,0,0,0,5,0,0,0,0,0,0,116
2020,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,0,0,0,0,80,220,0,640,"1,453",3,68,"2,024",0,"1,149","5,637"
2020,A D AGRO WORKS,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,53,60
2020,ADAPT MOTORS PVT LTD,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4
2020,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,0,0,0,0,0,0,0,78,"1,804",0,0,2,0,0,"1,884"
2020,ADIDEV TECHNOA PVT LTD,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
2020,ADISHAKTI TRACTORS,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
2020,ADISHWAR AUTO RIDE INDIA PVT LTD,0,"2,608",0,0,0,0,0,0,0,2,0,0,0,0,0,0,"2,610"
2020,ADITYA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,11,25,0,0,0,0,0,36
2020,ADITYA SAI INDUSTRIES,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,75
2020,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129
2020,ADRIS ELECTRIC PVT LTD,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2020,AFTEK MOTORS INDIA PVT LTD,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2020,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,132
2020,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,0,10,36,0,0,1,0,0,47
2020,AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,178,78,0,1,0,0,1,258
2020,AGRO TRAILERS AP312870751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2020,AHMED MOTORS,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,24
2020,AJANTA KRUSHI YANTRA,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,85
2020,AJAX FIORI ENGINEERING  PVT LTD,0,0,0,0,0,0,54,162,0,2,154,0,54,535,0,797,"1,758"
2020,AJAX FIORI ENGINEERING PVT LTD,0,0,0,0,0,0,1,12,0,1,138,0,4,20,0,12,188
2020,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,23
2020,AJAY ENTERPRISES,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,32
2020,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,34
2020,A.J ENTERPRISES,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,45
2020,AJIT ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2020,AKAL AGRO INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2020,AKASH TRAILOR,0,0,0,0,0,0,0,0,0,165,16,0,0,0,0,0,181
2020,AKG INTERNATIONAL,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,138
2020,A K GUPTA & CO.,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,195
2020,ALBEDO VISION PVT LTD,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
2020,ALLENTTI MOTORS PVT LTD,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,59
2020,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,"1,180",0,0,0,0,0,1,0,0,0,0,9,"1,190"
2020,ALL TERRAIN CRANE,0,0,0,0,0,0,1,16,0,0,0,0,0,5,0,29,51
2020,ALPHA SERVICES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5
2020,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,2,310
2020,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2020,ALTIUS EV TECH PVT LTD,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2020,ALTIUS TECHNOLOGIES,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30
2020,AMAN AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,146,14,0,0,0,0,1,161
2020,AMAN AUTOMOBILES,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22
2020,AMAN ELECTRICAL VEHICLES,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
2020,AMAR ENGG. WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,AMARJEET HARVESTER INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
2020,AMBIKA ENTERPRISES,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,27
2020,AMBIKA INDUSTRIES,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,656
2020,AMMANN APOLLO INDIA PVT LTD,0,0,0,0,0,0,0,9,0,0,2,0,2,17,0,138,168
2020,AMO MOBILITY SOLUTIONS PVT LTD,0,"1,495",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,496"
2020,AMPERE VEHICLES PRIVATE LIMITED,0,"2,575","1,947",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,522"
2020,AMRIT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2020,"AMRIT ENGG WORKS,DKL",0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,65
