year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2021,3EV INDUSTRIES PVT LTD,0,0,0,0,112,0,0,0,0,0,30,0,0,1,0,0,143
2021,3S INDUSTRIES,0,0,0,0,43,0,0,0,0,0,23,0,0,1,0,0,67
2021,A1 HEAVY EQUIPMENTS DEVELOPER,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,8
2021,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2021,AADHYA ENTERPRISES,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,9
2021,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2021,AAHANA COMMERCE PVT LTD,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,202
2021,AAKK AUTO PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2021,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,41
2021,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2021,ABZO MOTORS PVT LTD,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15
2021,ACCRETION POWER AUTOS,0,0,0,0,207,0,0,0,0,0,1,0,0,0,0,0,208
2021,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,0,0,0,0,56,314,0,307,"1,380",0,49,"2,500",0,"2,286","6,892"
2021,A D AGRO WORKS,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,82,87
2021,ADAPT MOTORS PVT LTD,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
2021,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,0,0,0,0,0,0,0,89,"2,499",0,0,2,0,0,"2,590"
2021,ADIDEV TECHNOA PVT LTD,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,34
2021,ADISHAKTI TRACTORS,0,0,0,0,0,0,0,0,0,27,159,0,0,0,0,0,186
2021,ADISHWAR AUTO RIDE INDIA PVT LTD,0,"1,870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,870"
2021,ADITYA AGRO INDUSTRIES,0,0,0,0,1,0,0,1,0,25,33,0,0,1,0,0,61
2021,ADITYA SAI INDUSTRIES,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,53
2021,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129
2021,ADRIS ELECTRIC PVT LTD,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2021,AFTEK MOTORS INDIA PVT LTD,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,487
2021,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,0,49
2021,AGRO INDUSTRIES,0,0,0,0,0,0,0,1,0,112,712,0,2,3,0,35,865
2021,AGRO TRAILERS AP312870751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2021,AHMED MOTORS,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,24
2021,AJANTA KRUSHI YANTRA,0,0,0,0,0,0,0,0,0,3,84,0,0,0,0,0,87
2021,AJAX FIORI ENGINEERING  PVT LTD,0,0,0,0,0,0,9,140,0,0,163,0,16,422,0,"1,288","2,038"
2021,AJAX FIORI ENGINEERING PVT LTD,0,0,0,0,0,0,2,7,0,4,77,0,1,11,0,23,125
2021,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,1,0,0,0,0,0,0,0,24,20,0,0,0,0,1,46
2021,AJAY ENTERPRISES,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,32
2021,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,34
2021,A.J ENTERPRISES,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,45
2021,AJIT ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2021,AKAL AGRO INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2021,AKASH TRAILOR,0,0,0,0,0,0,0,0,0,158,114,0,1,0,0,0,273
2021,AKG INTERNATIONAL,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,138
2021,A K GUPTA & CO.,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,256
2021,ALBEDO VISION PVT LTD,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
2021,ALLENTTI MOTORS PVT LTD,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,59
2021,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,"2,370",0,0,0,0,0,0,0,0,0,0,17,"2,387"
2021,ALL TERRAIN CRANE,0,0,0,0,0,0,0,101,0,2,11,0,0,71,0,344,529
2021,ALPHA SERVICES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,13
2021,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,4,385
2021,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,144,0,0,0,0,2,0,0,0,0,0,0,146
2021,ALTIUS EV TECH PVT LTD,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2021,ALTIUS TECHNOLOGIES,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,29
2021,AMAN AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,82,5,0,0,0,0,1,88
2021,AMAN AUTOMOBILES,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,64
2021,AMAN ELECTRICAL VEHICLES,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,63
2021,AMAR ENGG. WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,AMARJEET HARVESTER INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
2021,AMBIKA ENTERPRISES,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,113
2021,AMBIKA INDUSTRIES,0,0,0,0,982,0,0,0,0,0,3,0,0,1,0,0,986
2021,AMMANN APOLLO INDIA PVT LTD,0,0,0,0,0,0,0,6,0,0,1,0,0,6,0,163,176
2021,AMO MOBILITY SOLUTIONS PVT LTD,0,"1,495",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,496"
2021,AMPERE VEHICLES PRIVATE LIMITED,0,"11,730",740,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,470"
2021,AMRIT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2021,"AMRIT ENGG WORKS,DKL",0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,57
2021,AMW MOTORCYCLES BANGALORE PVT LTD,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2021,AMW MOTORS LIMITED,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
2021,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2021,ANCHI MOTORCYCLE (IMPORTER: EVNEXUX PVT. LTD.),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2021,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2021,ANGAD AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2021,ANJALI AUTO COMPONENTS,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11
2021,ANJALI TRADERS,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,79
2021,ANOOP CYLINDERS PVT LTD,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
2021,APARNA INDUSTRIES,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0,97
