year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2024,3EV INDUSTRIES PVT LTD,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,51
2024,3S INDUSTRIES,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,385
2024,A1 HEAVY EQUIPMENTS DEVELOPER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
2024,A-1 SUREJA INDUSTRIES,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024,AADHYA ENTERPRISES,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,239
2024,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
2024,AAHANA COMMERCE PVT LTD,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,776
2024,AAKK AUTO PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2024,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2024,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2024,ABZO MOTORS PVT LTD,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2024,ACCRETION POWER AUTOS,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,221
2024,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,0,0,0,0,5,201,0,47,657,0,3,"1,559",0,"2,350","4,822"
2024,A D AGRO WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
2024,ADAPT MOTORS PVT LTD,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2024,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,0,0,0,0,0,0,0,20,872,0,0,0,0,0,892
2024,ADIDEV TECHNOA PVT LTD,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,564
2024,ADISHAKTI TRACTORS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
