year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2019,3EV INDUSTRIES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2019,3S INDUSTRIES,0,0,0,0,48,0,0,0,0,52,1,1,0,0,0,1,103
2019,A1 HEAVY EQUIPMENTS DEVELOPER,0,0,0,0,0,0,4,10,0,9,59,0,0,4,0,33,119
2019,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,AADHYA ENTERPRISES,0,1,0,0,6,0,0,0,0,99,14,0,0,0,0,0,120
2019,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,16
2019,AAHANA COMMERCE PVT LTD,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61
2019,AAKK AUTO PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2019,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,41
2019,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,ABZO MOTORS PVT LTD,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15
2019,ACCRETION POWER AUTOS,0,2,0,0,315,0,0,0,0,3,0,0,0,0,0,0,320
2019,ACTION CONSTRUCTION EQUIPMENT LTD.,0,3,0,0,0,0,170,334,0,569,"1,988",9,162,"2,570",0,"1,897","7,702"
2019,A D AGRO WORKS,0,0,0,0,0,0,0,0,0,124,14,0,1,2,0,27,168
2019,ADAPT MOTORS PVT LTD,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
2019,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,0,0,0,0,0,1,0,92,"1,504",0,0,1,0,2,"1,600"
2019,ADIDEV TECHNOA PVT LTD,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
2019,ADISHAKTI TRACTORS,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,12
2019,ADISHWAR AUTO RIDE INDIA PVT LTD,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834
2019,ADITYA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,21
2019,ADITYA SAI INDUSTRIES,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,296
2019,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129
2019,ADRIS ELECTRIC PVT LTD,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2019,AFTEK MOTORS INDIA PVT LTD,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
2019,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,147
2019,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,0,10,41,0,0,0,0,0,51
2019,AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,263,196,0,0,4,0,10,473
2019,AGRO TRAILERS AP312870751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019,AHMED MOTORS,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,24
2019,AJANTA KRUSHI YANTRA,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,71
2019,AJAX FIORI ENGINEERING  PVT LTD,0,0,0,0,0,0,141,134,0,11,126,0,73,557,0,882,"1,924"
2019,AJAX FIORI ENGINEERING PVT LTD,0,0,0,0,0,0,9,12,0,16,222,0,8,83,0,57,407
2019,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,0,0,0,30,4,0,0,0,0,0,34
2019,AJAY ENTERPRISES,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,32
2019,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,34
2019,A.J ENTERPRISES,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,45
2019,AJIT ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2019,AKAL AGRO INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2019,AKASH TRAILOR,0,0,0,0,0,0,0,0,0,72,7,0,0,0,0,0,79
2019,AKG INTERNATIONAL,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,138
2019,A K GUPTA & CO.,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,438
2019,ALBEDO VISION PVT LTD,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
2019,ALLENTTI MOTORS PVT LTD,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,59
2019,ALLFINE INDUSTRIES PVT LTD,0,0,0,1,"1,736",0,0,0,0,0,0,0,0,0,0,4,"1,741"
2019,ALL TERRAIN CRANE,0,0,0,0,0,0,1,42,0,0,0,0,0,38,0,69,150
2019,ALPHA SERVICES,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4
2019,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,177
2019,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2019,ALTIUS EV TECH PVT LTD,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2019,ALTIUS TECHNOLOGIES,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,79
2019,AMAN AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,150,45,0,0,0,0,3,198
2019,AMAN AUTOMOBILES,0,0,0,0,53,0,0,0,0,4,2,0,0,0,0,0,59
2019,AMAN ELECTRICAL VEHICLES,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
2019,AMAR ENGG. WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019,AMARJEET HARVESTER INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2019,AMBIKA ENTERPRISES,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,27
2019,AMBIKA INDUSTRIES,0,0,0,0,427,0,0,0,0,2,2,0,0,0,0,0,431
2019,AMMANN APOLLO INDIA PVT LTD,0,0,0,0,0,0,2,4,0,0,2,0,4,6,0,132,150
2019,AMO MOBILITY SOLUTIONS PVT LTD,0,"1,495",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,496"
2019,AMPERE VEHICLES PRIVATE LIMITED,0,598,598,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,196"
2019,AMRIT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2019,"AMRIT ENGG WORKS,DKL",0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,1,108
2019,AMW MOTORCYCLES BANGALORE PVT LTD,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2019,AMW MOTORS LIMITED,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,19
2019,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2019,ANCHI MOTORCYCLE (IMPORTER: EVNEXUX PVT. LTD.),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2019,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2019,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2019,ANGAD AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2019,ANJALI AUTO COMPONENTS,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23
2019,ANJALI TRADERS,0,0,0,0,118,0,0,0,0,0,1,0,0,0,0,0,119
2019,ANOOP CYLINDERS PVT LTD,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
2019,APARNA INDUSTRIES,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,190
2019,A P I MOTORS PVT LTD,0,0,0,0,"1,455",0,0,0,0,36,0,4,0,0,0,11,"1,506"
2019,APM AUTO SALES,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,267
2019,APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,0,0,0,0,3,49,0,9,5,0,0,3,0,23,92
2019,APSARA ENTERPRISE,0,0,0,0,276,0,0,0,0,2,0,0,0,0,0,0,278
2019,APTEC EQUIPMENT PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2019,A R AGRO TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2019,ARCHIT ENTERPRISES,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,251
2019,ARD EXIM,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
2019,ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4
2019,A.R. MOTOR,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,48
2019,ARNA ELECTRIC AUTO PVT LTD,0,2,0,0,308,0,0,0,0,0,0,0,0,0,0,0,310
2019,ARROW AUTOMOTIVE,0,0,0,0,393,0,0,0,0,1,0,0,0,0,0,0,394
2019,ASAV AUTOMOTIVE PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019,ASHA IMPEX,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
2019,ASHA METAL INDUSTRIES,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,8
2019,ASHMA-MOTORS PVT LTD,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,294
2019,"ASHOK FABRIC & ENGG,RAIRAKHOL",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
2019,ASHOK LEYLAND DEFENCE SYSTEMS LTD,0,0,0,0,0,0,2,1,0,1,0,3,15,1,5,0,28
2019,ASHOK LEYLAND LTD,0,0,0,0,1,0,"85,346","1,181","14,149","44,082",100,"1,994","3,370",74,"4,234",526,"1,55,057"
2019,ASHWA ELECTRIC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
