year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2023,3EV INDUSTRIES PVT LTD,0,0,0,0,545,0,0,0,0,0,1,0,0,0,0,0,546
2023,3S INDUSTRIES,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,266
2023,A1 HEAVY EQUIPMENTS DEVELOPER,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,21,25
2023,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,AADHYA ENTERPRISES,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,797
2023,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,34
2023,AAHANA COMMERCE PVT LTD,0,0,0,0,918,0,0,0,0,0,1,0,0,0,0,0,919
2023,AAKK AUTO PVT LTD,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
2023,AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,34,1,0,0,1,0,0,36
2023,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,ABZO MOTORS PVT LTD,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15
2023,ACCRETION POWER AUTOS,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,598
2023,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,0,0,0,0,10,362,0,132,"2,093",0,4,"2,744",0,"3,538","8,883"
2023,A D AGRO WORKS,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,107,110
2023,ADAPT MOTORS PVT LTD,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
2023,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,0,0,0,0,0,0,0,0,0,68,"2,255",0,0,0,0,0,"2,323"
2023,ADIDEV TECHNOA PVT LTD,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,689
2023,ADISHAKTI TRACTORS,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,40
2023,ADISHWAR AUTO RIDE INDIA PVT LTD,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382
2023,ADITYA AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,56,7,0,0,0,0,0,63
2023,ADITYA SAI INDUSTRIES,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,179
2023,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,129
2023,ADRIS ELECTRIC PVT LTD,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2023,AFTEK MOTORS INDIA PVT LTD,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
2023,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2023,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,65
2023,AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,72,77,0,0,0,0,0,149
2023,AGRO TRAILERS AP312870751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,AHMED MOTORS,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,74
2023,AJANTA KRUSHI YANTRA,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,95
2023,AJAX FIORI ENGINEERING  PVT LTD,0,0,0,0,0,0,1,226,0,2,91,0,4,119,0,"3,108","3,551"
2023,AJAX FIORI ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,7
2023,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,10
2023,AJAY ENTERPRISES,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25
2023,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,190
2023,A.J ENTERPRISES,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,45
2023,AJIT ENGINEERING WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2023,AKAL AGRO INDUSTRY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,16
2023,AKASH TRAILOR,0,0,0,0,0,0,0,0,0,13,22,0,0,0,0,0,35
2023,AKG INTERNATIONAL,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,138
2023,A K GUPTA & CO.,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,563
2023,ALBEDO VISION PVT LTD,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,39
2023,ALLENTTI MOTORS PVT LTD,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,59
2023,ALLFINE INDUSTRIES PVT LTD,0,0,0,2,"10,741",0,0,0,0,8,0,0,0,0,0,1,"10,752"
2023,ALL TERRAIN CRANE,0,0,0,0,0,0,8,654,0,0,2,0,0,18,0,585,"1,267"
2023,ALPHA SERVICES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28
2023,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,"2,517",0,0,0,0,1,0,0,0,0,0,3,"2,521"
2023,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,"2,512",0,0,0,0,7,0,0,0,0,0,0,"2,519"
2023,ALTIUS EV TECH PVT LTD,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2023,ALTIUS TECHNOLOGIES,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13
2023,AMAN AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,47,0,0,0,1,0,0,48
2023,AMAN AUTOMOBILES,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
2023,AMAN ELECTRICAL VEHICLES,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,162
2023,AMAR ENGG. WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
2023,AMARJEET HARVESTER INDUSTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
2023,AMBIKA ENTERPRISES,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,145
2023,AMBIKA INDUSTRIES,0,0,0,0,"1,910",0,0,0,0,0,0,0,0,0,0,0,"1,910"
2023,AMMANN APOLLO INDIA PVT LTD,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,217,222
2023,AMO MOBILITY SOLUTIONS PVT LTD,0,"1,574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,574"
2023,AMPERE VEHICLES PRIVATE LIMITED,14,"42,902",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,917"
2023,AMRIT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2023,"AMRIT ENGG WORKS,DKL",0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,49
2023,AMW MOTORCYCLES BANGALORE PVT LTD,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2023,AMW MOTORS LIMITED,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2023,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2023,ANCHI MOTORCYCLE (IMPORTER: EVNEXUX PVT. LTD.),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2023,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2023,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2023,ANGAD AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2023,ANJALI AUTO COMPONENTS,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,62
2023,ANJALI TRADERS,0,0,0,0,74,0,0,0,0,0,1,0,0,0,0,0,75
2023,ANOOP CYLINDERS PVT LTD,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
2023,APARNA INDUSTRIES,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,87
2023,A P I MOTORS PVT LTD,0,0,0,0,"1,134",0,0,0,0,0,0,0,0,0,0,0,"1,134"
2023,APM AUTO SALES,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,778
2023,APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,1,0,0,2,0,0,8,0,69,80
2023,APSARA ENTERPRISE,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,725
2023,APTEC EQUIPMENT PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,13
2023,A R AGRO TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,ARCHIT ENTERPRISES,0,0,0,0,"1,077",0,0,0,0,0,0,0,0,0,0,0,"1,077"
2023,ARD EXIM,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,1,62
2023,ARMIX CONSTRUCTION MACHINERY PVT LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2023,A.R. MOTOR,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,48
2023,ARNA ELECTRIC AUTO PVT LTD,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,590
2023,ARROW AUTOMOTIVE,0,0,0,0,"3,958",0,0,0,0,0,0,0,0,0,0,0,"3,958"
2023,ASAV AUTOMOTIVE PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023,ASHA IMPEX,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86
2023,ASHA METAL INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2023,ASHMA-MOTORS PVT LTD,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,294
2023,"ASHOK FABRIC & ENGG,RAIRAKHOL",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2023,ASHOK LEYLAND DEFENCE SYSTEMS LTD,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,5
2023,ASHOK LEYLAND LTD,0,0,0,0,0,0,"93,313",301,"9,834","57,968",126,936,"4,004",39,"2,403",489,"1,69,413"
