year,Maker,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2022,AMBIKA ENTERPRISES,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,92
2022,AMBIKA INDUSTRIES,0,0,0,0,"1,159",0,0,0,0,0,2,0,0,0,0,0,"1,161"
2022,AMMANN APOLLO INDIA PVT LTD,0,0,0,0,0,0,0,3,0,0,0,0,1,9,0,151,164
2022,AMO MOBILITY SOLUTIONS PVT LTD,0,"1,495",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,496"
2022,AMPERE VEHICLES PRIVATE LIMITED,2,"79,141",716,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,859"
2022,AMRIT AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2022,"AMRIT ENGG WORKS,DKL",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30
2022,AMW MOTORCYCLES BANGALORE PVT LTD,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2022,AMW MOTORS LIMITED,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
2022,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2022,ANCHI MOTORCYCLE (IMPORTER: EVNEXUX PVT. LTD.),0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2022,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2022,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2022,ANGAD AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2022,ANJALI AUTO COMPONENTS,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
2022,ANJALI TRADERS,0,0,0,0,75,0,0,0,0,0,1,0,0,0,0,0,76
2022,ANOOP CYLINDERS PVT LTD,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
2022,APARNA INDUSTRIES,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86
2022,A P I MOTORS PVT LTD,0,0,0,0,814,0,0,0,0,21,0,0,0,0,0,2,837
2022,APM AUTO SALES,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,3,402
2022,APOLLO CARMIX EQUIPMENTS PVT LTD,0,0,0,0,0,0,0,0,0,0,3,0,1,6,0,54,64
2022,APSARA ENTERPRISE,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,379
2022,APTEC EQUIPMENT PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2022,A R AGRO TECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,ARCHIT ENTERPRISES,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,564
2022,ARD EXIM,0,0,0,5,36,0,0,0,0,1,0,0,0,0,0,0,42
